val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,val_loss,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,seed,best_model_from
0.1426175696481852,15.0,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Wed Mar 16 14:51:36 2022,9223.0,val
0.1426175696481852,15.0,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Wed Mar 16 14:51:36 2022,9223.0,test
0.1386643343150371,14.0,0.9982632416945236,0.4253120370487869,0.2667495022835715,0.1860057481519192,0.1727698613679918,0.3411918370206745,1.5418005052365755,0.4672291311084609,0.303075859595399,0.2207677554821186,0.1708001560493802,0.1922463737572502,0.365735647996987,Wed Mar 16 22:10:55 2022,9223.0,val
0.1386643343150371,14.0,0.9982632416945236,0.4253120370487869,0.2667495022835715,0.1860057481519192,0.1727698613679918,0.3411918370206745,1.5418005052365755,0.4672291311084609,0.303075859595399,0.2207677554821186,0.1708001560493802,0.1922463737572502,0.365735647996987,Wed Mar 16 22:10:55 2022,9223.0,test
0.1130607803149258,16.0,0.7982665559420219,0.4069073206576277,0.2470820615403144,0.1651071772154944,0.1702747839503871,0.3144426496639405,1.6253343130412854,0.4094459078515454,0.2577753970315639,0.1811409073190956,0.1331585571358764,0.1899670652000105,0.3364764370579915,Thu Mar 17 00:22:18 2022,9223.0,val
0.1026257512694277,10.0,1.218028744367453,0.3931902618910644,0.2174558092507641,0.1433325075614402,0.1450522223064933,0.3063696672467432,1.5553963811774003,0.4342829700128319,0.258815587284657,0.1838086071463386,0.1403731267616465,0.1665222434678377,0.3374936300722629,Thu Mar 17 00:22:18 2022,9223.0,test
0.1426175696481852,15.0,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Thu Mar 17 13:23:25 2022,9223.0,val
0.1426175696481852,15.0,0.9662597344471858,0.435183927437984,0.2693687562680606,0.1898005467050134,0.1702718097192536,0.3374930160617781,1.4962885630758185,0.4846198799340974,0.3165079445616348,0.2368148903375488,0.1880877563467185,0.1967919239015073,0.3738867116616621,Thu Mar 17 13:23:25 2022,9223.0,test
0.1157052992996962,1.0,3.832584366431603,0.3126222749568691,0.2111982697623975,0.1535534393397985,0.1498299834213871,0.3632560750939721,2.780903038225676,0.3561177409116124,0.2383881631420898,0.1744001066770211,0.1324754665503236,0.1646548028370351,0.3782225276175559,Thu Mar 17 14:46:55 2022,9223.0,val
0.1157052992996962,1.0,3.832584366431603,0.3126222749568691,0.2111982697623975,0.1535534393397985,0.1498299834213871,0.3632560750939721,2.780903038225676,0.3561177409116124,0.2383881631420898,0.1744001066770211,0.1324754665503236,0.1646548028370351,0.3782225276175559,Thu Mar 17 14:46:55 2022,9223.0,test
